0.271 s |  Acceleration:  2.42911 m/s^2 | Velocity:  1.25775 m/s
0.272 s |  Acceleration:  2.4144 m/s^2 | Velocity:  1.26016 m/s
0.273 s |  Acceleration:  2.39975 m/s^2 | Velocity:  1.26256 m/s
0.274 s |  Acceleration:  2.38515 m/s^2 | Velocity:  1.26495 m/s
0.275 s |  Acceleration:  2.37062 m/s^2 | Velocity:  1.26732 m/s
0.276 s |  Acceleration:  2.35615 m/s^2 | Velocity:  1.26967 m/s
0.277 s |  Acceleration:  2.34175 m/s^2 | Velocity:  1.27202 m/s
0.278 s |  Acceleration:  2.3274 m/s^2 | Velocity:  1.27434 m/s
0.279 s |  Acceleration:  2.31312 m/s^2 | Velocity:  1.27666 m/s
0.28 s |  Acceleration:  2.29889 m/s^2 | Velocity:  1.27896 m/s
0.281 s |  Acceleration:  2.28473 m/s^2 | Velocity:  1.28124 m/s
0.282 s |  Acceleration:  2.27063 m/s^2 | Velocity:  1.28351 m/s
0.283 s |  Acceleration:  2.2566 m/s^2 | Velocity:  1.28577 m/s
0.284 s |  Acceleration:  2.24262 m/s^2 | Velocity:  1.28801 m/s
0.285 s |  Acceleration:  2.22871 m/s^2 | Velocity:  1.29024 m/s
0.286 s |  Acceleration:  2.21486 m/s^2 | Velocity:  1.29245 m/s
0.287 s |  Acceleration:  2.20107 m/s^2 | Velocity:  1.29465 m/s
0.288 s |  Acceleration:  2.18735 m/s^2 | Velocity:  1.29684 m/s
0.289 s |  Acceleration:  2.17368 m/s^2 | Velocity:  1.29902 m/s
0.29 s |  Acceleration:  2.16008 m/s^2 | Velocity:  1.30118 m/s
0.291 s |  Acceleration:  2.14654 m/s^2 | Velocity:  1.30332 m/s
0.292 s |  Acceleration:  2.13307 m/s^2 | Velocity:  1.30546 m/s
0.293 s |  Acceleration:  2.11966 m/s^2 | Velocity:  1.30758 m/s
0.294 s |  Acceleration:  2.10631 m/s^2 | Velocity:  1.30968 m/s
0.295 s |  Acceleration:  2.09302 m/s^2 | Velocity:  1.31177 m/s
0.296 s |  Acceleration:  2.07979 m/s^2 | Velocity:  1.31385 m/s
0.297 s |  Acceleration:  2.06663 m/s^2 | Velocity:  1.31592 m/s
0.298 s |  Acceleration:  2.05353 m/s^2 | Velocity:  1.31797 m/s
0.299 s |  Acceleration:  2.0405 m/s^2 | Velocity:  1.32001 m/s
0.3 s |  Acceleration:  2.02752 m/s^2 | Velocity:  1.32204 m/s
0.301 s |  Acceleration:  2.01461 m/s^2 | Velocity:  1.32406 m/s
0.302 s |  Acceleration:  2.00176 m/s^2 | Velocity:  1.32606 m/s
0.303 s |  Acceleration:  1.98897 m/s^2 | Velocity:  1.32805 m/s
0.304 s |  Acceleration:  1.97625 m/s^2 | Velocity:  1.33002 m/s
0.305 s |  Acceleration:  1.96359 m/s^2 | Velocity:  1.33199 m/s
0.306 s |  Acceleration:  1.95099 m/s^2 | Velocity:  1.33394 m/s
0.307 s |  Acceleration:  1.93845 m/s^2 | Velocity:  1.33588 m/s
0.308 s |  Acceleration:  1.92598 m/s^2 | Velocity:  1.3378 m/s
0.309 s |  Acceleration:  1.91357 m/s^2 | Velocity:  1.33972 m/s
0.31 s |  Acceleration:  1.90122 m/s^2 | Velocity:  1.34162 m/s
0.311 s |  Acceleration:  1.88893 m/s^2 | Velocity:  1.34351 m/s
0.312 s |  Acceleration:  1.8767 m/s^2 | Velocity:  1.34538 m/s
0.313 s |  Acceleration:  1.86454 m/s^2 | Velocity:  1.34725 m/s
0.314 s |  Acceleration:  1.85244 m/s^2 | Velocity:  1.3491 m/s
0.315 s |  Acceleration:  1.8404 m/s^2 | Velocity:  1.35094 m/s
0.316 s |  Acceleration:  1.82842 m/s^2 | Velocity:  1.35277 m/s
0.317 s |  Acceleration:  1.81651 m/s^2 | Velocity:  1.35459 m/s
0.318 s |  Acceleration:  1.80465 m/s^2 | Velocity:  1.35639 m/s
0.319 s |  Acceleration:  1.79286 m/s^2 | Velocity:  1.35818 m/s
0.32 s |  Acceleration:  1.78113 m/s^2 | Velocity:  1.35996 m/s
0.321 s |  Acceleration:  1.76946 m/s^2 | Velocity:  1.36173 m/s
0.322 s |  Acceleration:  1.75785 m/s^2 | Velocity:  1.36349 m/s
0.323 s |  Acceleration:  1.74631 m/s^2 | Velocity:  1.36524 m/s
0.324 s |  Acceleration:  1.73482 m/s^2 | Velocity:  1.36697 m/s
0.325 s |  Acceleration:  1.7234 m/s^2 | Velocity:  1.3687 m/s
0.326 s |  Acceleration:  1.71203 m/s^2 | Velocity:  1.37041 m/s
0.327 s |  Acceleration:  1.70073 m/s^2 | Velocity:  1.37211 m/s
0.328 s |  Acceleration:  1.68949 m/s^2 | Velocity:  1.3738 m/s
0.329 s |  Acceleration:  1.67831 m/s^2 | Velocity:  1.37548 m/s
0.33 s |  Acceleration:  1.66718 m/s^2 | Velocity:  1.37714 m/s
0.331 s |  Acceleration:  1.65612 m/s^2 | Velocity:  1.3788 m/s
0.332 s |  Acceleration:  1.64512 m/s^2 | Velocity:  1.38045 m/s
0.333 s |  Acceleration:  1.63418 m/s^2 | Velocity:  1.38208 m/s
0.334 s |  Acceleration:  1.6233 m/s^2 | Velocity:  1.3837 m/s
0.335 s |  Acceleration:  1.61248 m/s^2 | Velocity:  1.38532 m/s
0.336 s |  Acceleration:  1.60172 m/s^2 | Velocity:  1.38692 m/s
0.337 s |  Acceleration:  1.59101 m/s^2 | Velocity:  1.38851 m/s
0.338 s |  Acceleration:  1.58037 m/s^2 | Velocity:  1.39009 m/s
0.339 s |  Acceleration:  1.56978 m/s^2 | Velocity:  1.39166 m/s
0.34 s |  Acceleration:  1.55926 m/s^2 | Velocity:  1.39322 m/s
0.341 s |  Acceleration:  1.54879 m/s^2 | Velocity:  1.39477 m/s
